,value
d_model,256.0
n_heads,2.0
n_layers,2.0
time_emb_dim,64.0
dropout,0.1
emb_base,4.0
emb_max,32.0
diffusion_steps,1000.0
beta_start,0.00012739186255181854
beta_end,0.015791395932633682
lr,0.00033919538686125845
batch_size,512.0
dp_noise_mult,0.637101564692787
dp_max_grad_norm,1.2860537642328722
epochs,100.0
val_fidelity_best,0.8974169993516908
test_fidelity_final,0.875150333988911
n_trials,60.0
pruned_trials,38.0
