,Dataset,Method,Constraint,Avg Alpha-P,Std Alpha-P,Avg ViolationAcc,Std ViolationAcc,Avg ks,Std ks,Avg detect,Std detect,Avg identifiability,Std identifiability,Avg xgb utility,Std xgb utility
18,shoppers,harpoon_ohe,category,0.7080459770114942,0.0337783658926556,0.0,0.0,0.8990919540229886,0.0005788928435352,0.864535895599371,0.0083114153089071,0.4693965517241379,0.0116777734346069,0.8772554362389604,0.0102379216557426
19,shoppers,GReaT,both,0.7336865342163355,0.0247609311976496,95.2317880794702,1.0596026490066217,0.918852097130243,0.0025597927882263,0.9899335947712418,0.0044338175451676,0.0701986754966887,0.0115467521683196,0.841998813626911,0.0113132507208716
20,shoppers,harpoon_ohe,both,0.8092410748268251,0.0361302933878858,12.052980132450331,2.192443093675079,0.894710816777042,0.0018006318193774,0.8157573856209149,0.0065364240140175,0.5298013245033112,0.0125653416960333,0.8525277692525002,0.0132170565151981
21,shoppers,GReaT,or,0.8208032744947555,0.019376836334592,65.75594781273983,0.3270495127039544,0.9221038628805324,0.0008593258231284,0.9797224665219826,0.0015353160529107,0.140905602455871,0.0067536454336147,0.3466338282914686,0.4245434173569462
22,shoppers,harpoon_ohe,or,0.4710463034024047,0.0061714535441867,20.19953952417498,1.261438576288832,0.9133282169352775,0.0007106306696872,0.9027292990228254,0.0020350222695339,0.3685341519570222,0.0148372015024952,0.8864295855775964,0.0073983631790661
23,adult,DiffPuter_Remastered,range,0.8287077144539685,0.0164836084244803,73.86148007590133,1.0301875372402547,0.9368270785016516,0.0006763863885541,0.9439546381748972,0.0027971026981156,0.1685009487666034,0.008136192248394,0.9407407887008412,0.0019603471602535
24,adult,DiffPuter_Remastered,category,0.8331683168316832,0.0192698015385995,0.0,0.0,0.951971030436377,0.0005370279288451,0.8466344819114304,0.006472304013197,0.4059405940594059,0.0119223708700913,0.8675558693055111,0.0101995302035959
25,adult,DiffPuter_Remastered,both,0.7347849670670283,0.0371226802124135,78.87640449438202,6.411389940533531,0.937973366625052,0.0012850102086263,0.9130166028097062,0.0135795333516863,0.3011235955056179,0.0468149812494374,0.9194590244188552,0.0265018219166772
26,adult,DiffPuter_Remastered,or,0.8756480282351602,0.0043014880575937,63.21914981427981,0.569123043365686,0.9433828587150916,0.0004605029936766,0.9245630278986344,0.0044208921799136,0.2199752373091209,0.0029183111068367,0.9306046315475708,0.0046820607915364
27,default,DiffPuter_Remastered,range,0.6486906237092112,0.0175891375017364,88.52540272614621,1.2054906078825594,0.934569767283522,0.0009846595292052,0.9424174163799102,0.0072890884259818,0.1548946716232961,0.0073935236134702,0.7780819611148277,0.1535366284743993
28,default,DiffPuter_Remastered,category,0.8527743971151679,0.0150273474490514,0.0,0.0,0.9424737534271004,0.0025238726909633,0.7458948607071002,0.0082130337177703,0.4442190669371196,0.0092013662400021,0.8149088293754003,0.0611775073593648
29,default,DiffPuter_Remastered,both,0.5906031746031746,0.0330713412767095,91.3015873015873,0.8659162982213212,0.9310518053375196,0.0055611692154548,0.9528949357520788,0.0062117798294785,0.1536507936507936,0.0107374822382779,0.5605299631089364,0.128708723208704
30,default,DiffPuter_Remastered,or,0.8800163287204696,0.0093571193343085,23.033992897006595,0.2587021569554932,0.9437179765946888,0.0019502098845138,0.7963799290627338,0.0033904441008312,0.3709791983764586,0.0046654749599483,0.8188726657034555,0.070717613061719
31,shoppers,DiffPuter_Remastered,range,0.6837311041448974,0.0074954834544842,76.68686868686868,1.605266305076275,0.9072619528619528,0.0008416549440322,0.9373731251913072,0.0039995740542529,0.2915151515151515,0.0153800939884236,0.8921463295250618,0.0072892115545292
32,shoppers,DiffPuter_Remastered,category,0.524712643678161,0.0235055012212076,0.0,0.0,0.8932471264367816,0.001323462271743,0.8864962273245311,0.0048455998005411,0.409051724137931,0.0151415241984916,0.8166523777067418,0.1153512295996083
33,shoppers,DiffPuter_Remastered,both,0.7648504224708838,0.0172667162393486,78.67549668874172,3.281989852546721,0.8833907284768214,0.001315169466625,0.9417364705882352,0.0108583073480095,0.2741721854304636,0.0190101988005395,0.8451306895543912,0.0160698319870092
34,shoppers,DiffPuter_Remastered,or,0.5349194167306216,0.0064996381749461,50.56024558710668,0.415847035583855,0.902317728319263,0.0008047168713281,0.9322799518218904,0.0032410316319858,0.3036070606293169,0.0125975653284317,0.8802523266308535,0.0119596494211325
35,default,GReaT,both,0.6103280423280424,0.018722875455968693,94.79365079365078,1.7686842256741733,0.9179347636490494,0.0036996398675474417,0.9835948601662887,0.005214892783989224,0.06793650793650793,0.01963126963014642,0.5174174599071593,0.15846800370036962
