,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
0,adult,harpoon_ohe_maesoftfix,MCAR,0.0,0.1156939616174845,0.0063020485391263,99.93039205650528,0.0082370134811295
1,bean,harpoon_ohe_maesoftfix,MCAR,0.0,0.0117135168984532,7.650125917280093e-05,,
2,california,harpoon_ohe_maesoftfix,MCAR,0.0,0.0123940948396921,3.924661359633319e-05,,
3,default,harpoon_ohe_maesoftfix,MCAR,0.0,0.024646692578913,0.0029463832409664,99.9995061728395,0.0006048122821691
4,gesture,harpoon_ohe_maesoftfix,MCAR,0.0,0.0151292439550161,0.0024088292848318,,
5,letter,harpoon_ohe_maesoftfix,MCAR,0.0,0.0121348295360803,1.6196972865145653e-05,,
6,magic,harpoon_ohe_maesoftfix,MCAR,0.0,0.0125111266970634,2.4029948690440502e-05,,
7,shoppers,harpoon_ohe_maesoftfix,MCAR,0.0,0.04684961899303488,0.0032018995408597288,100.0,0.0
