,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
126,letter,Remasker,MCAR,0.5,1.1218817279078777,0.0512518031100718,,
127,letter,Remasker,MCAR,0.75,1.1092349254909972,0.0038604257626019,,
128,letter,Remasker,MNAR,0.25,0.694720999786492,0.1122262970773124,,
129,letter,Remasker,MNAR,0.5,1.136773017352351,0.0431253536619632,,
130,letter,Remasker,MNAR,0.75,1.0993838983890716,0.0147550536828132,,
131,magic,Remasker,MAR,0.25,0.8099315676463039,0.1122152877242197,,
132,magic,Remasker,MAR,0.5,0.7688497448979811,0.0763080315587118,,
133,magic,Remasker,MAR,0.75,1.2977932193640274,0.0978198863788943,,
134,magic,Remasker,MCAR,0.25,1.7037716827921057,1.2989167953782337,,
135,magic,Remasker,MCAR,0.5,4.372952249615653,0.0162121453909367,,
136,magic,Remasker,MCAR,0.75,4.380330120247691,0.015628350810287,,
137,magic,Remasker,MNAR,0.25,1.0892627496381275,0.0903772812753048,,
138,magic,Remasker,MNAR,0.5,4.345419138377198,0.1473126684584863,,
139,magic,Remasker,MNAR,0.75,4.327677846990264,0.0617325952459438,,
140,news,Remasker,MAR,0.25,187.32509531819355,181.59676001854453,35.14909845946397,5.058703109582094
141,news,Remasker,MAR,0.5,145.9163751108801,126.38132955717067,25.759078954717666,4.011368390071661
142,news,Remasker,MAR,0.75,149.7588485682679,41.14101797239544,15.890180713426332,0.7443972458672041
143,news,Remasker,MCAR,0.25,64.9315828094689,81.43866469634534,31.5196512701898,0.4633278886320979
144,news,Remasker,MCAR,0.5,119.62115524037225,86.08548419331093,20.34423408067199,0.2228552178911625
145,news,Remasker,MCAR,0.75,132.53195878383582,65.78752123938771,14.425304143027969,0.394718307115218
146,news,Remasker,MNAR,0.25,142.08520680699934,125.00386035109246,30.46995830309445,2.0584234782718083
147,news,Remasker,MNAR,0.5,157.98396820653255,103.40525068787407,20.172368879133,0.6850903665865419
148,news,Remasker,MNAR,0.75,155.06379794335174,60.65934147466022,14.789090478621684,0.69221907016554
149,shoppers,Remasker,MAR,0.25,0.7205798320127721,0.1183834959393712,39.82606592720613,6.073047874076625
150,shoppers,Remasker,MAR,0.5,0.8167297516031542,0.101364783767121,38.44236907446043,6.2657433312695545
151,shoppers,Remasker,MAR,0.75,1.1699264823547069,0.0273414299965573,44.15148042657025,5.786547959696527
152,shoppers,Remasker,MCAR,0.25,0.859177006601532,0.1083904185512372,42.187067086387785,0.3445898906730748
153,shoppers,Remasker,MCAR,0.5,1.2286373486612725,0.0394136465415813,43.75635686767946,1.0002883026017242
154,shoppers,Remasker,MCAR,0.75,1.1262735780825572,0.0124045852709488,46.59006210432492,0.0891070175367617
155,shoppers,Remasker,MNAR,0.25,0.9024568475712264,0.1319837811681458,42.01358620672516,0.9971119512048908
156,shoppers,Remasker,MNAR,0.5,1.180453204560301,0.0293062422253612,44.29108415066359,1.6544922891273883
157,shoppers,Remasker,MNAR,0.75,1.132631685583242,0.0172729138869021,46.334938764633904,0.1573613508047839
158,adult,GAIN,MAR,0.25,1.862996051571996,0.0417408868460045,22.11284805871973,6.974775786561508
159,adult,GAIN,MAR,0.5,3.3704672010222545,0.2072104882717182,21.850755340102133,8.008087288223084
160,adult,GAIN,MAR,0.75,7.438991511866443,0.2104288752117697,22.41309320653616,1.4466053375120564
161,adult,GAIN,MCAR,0.25,1.7658466684901728,0.0439572142169095,20.76856986508199,0.2147834244802906
162,adult,GAIN,MCAR,0.5,3.29898851006741,0.0208137499130516,19.935020546602992,0.1547473070447302
163,adult,GAIN,MCAR,0.75,6.634983512386652,0.0122164376930488,21.222530376749265,0.0590382442626255
164,adult,GAIN,MNAR,0.25,1.8595605891522056,0.1414942097000348,20.620075376982776,0.2912568527954894
165,adult,GAIN,MNAR,0.5,3.318925373883662,0.0832291871927386,19.894248953051743,0.1180835070443425
166,adult,GAIN,MNAR,0.75,6.8319400247194295,0.4110252625507152,20.938959391218425,0.4398946887160823
167,bean,GAIN,MAR,0.25,1.414257642660825,0.0329937951104244,,
168,bean,GAIN,MAR,0.5,1.940092213823581,0.1220710859013858,,
169,bean,GAIN,MAR,0.75,3.0992091980991585,0.0690452107491807,,
170,bean,GAIN,MCAR,0.25,1.2722629191334205,0.017367802812664,,
171,bean,GAIN,MCAR,0.5,1.7876532768817792,0.0063472991857831,,
172,bean,GAIN,MCAR,0.75,2.8318198899192453,0.0111879879663421,,
173,bean,GAIN,MNAR,0.25,1.345786384851965,0.0822020026658565,,
174,bean,GAIN,MNAR,0.5,1.762841442558986,0.050136077965695,,
175,bean,GAIN,MNAR,0.75,2.8540599243228777,0.0667620409596489,,
176,california,GAIN,MAR,0.25,15.063069228605691,4.316691651906453,,
177,california,GAIN,MAR,0.5,18.688608323047028,5.329016204444072,,
178,california,GAIN,MAR,0.75,22.74169067951459,1.3288716815382493,,
179,california,GAIN,MCAR,0.25,13.748203890472666,0.0954676178896358,,
180,california,GAIN,MCAR,0.5,17.298119044872458,0.1292050706414766,,
181,california,GAIN,MCAR,0.75,21.662693022948325,0.0763374890617247,,
182,california,GAIN,MNAR,0.25,13.918253632815118,0.4808574870776957,,
183,california,GAIN,MNAR,0.5,17.395898021332883,0.3354270246461254,,
184,california,GAIN,MNAR,0.75,21.703172261872474,0.2440083827986561,,
185,default,GAIN,MAR,0.25,6.861821452516034,1.6083838669446404,51.29518184946407,2.6553936079787084
186,default,GAIN,MAR,0.5,23.16574524149143,7.052297955551898,42.28374731880114,3.238271839057291
187,default,GAIN,MAR,0.75,62.22623113533909,10.7664197823869,20.68631331641636,1.262636090841953
188,default,GAIN,MCAR,0.25,5.669640858155132,0.0337809252921368,47.76852016903385,0.4296198979069561
189,default,GAIN,MCAR,0.5,19.1606791105767,0.0729024672887561,41.13916306070461,0.1205206932696944
190,default,GAIN,MCAR,0.75,58.09054425693889,0.221176329437296,19.994455739540022,0.1763162311167694
191,default,GAIN,MNAR,0.25,5.7885567878760105,0.2002820411403716,49.717094440967934,2.097855680926624
192,default,GAIN,MNAR,0.5,18.823121812333344,0.1360792437862325,42.02510253940827,1.4331536410644643
193,default,GAIN,MNAR,0.75,58.61321865827357,0.696073555010436,20.221830957527576,1.0145271156193878
194,gesture,GAIN,MAR,0.25,1.2225927171816031,0.0805069945795193,,
195,gesture,GAIN,MAR,0.5,2.9686049303834823,0.3182070364256582,,
196,gesture,GAIN,MAR,0.75,9.701412645077411,1.1748638730274583,,
197,gesture,GAIN,MCAR,0.25,1.1606228095078317,0.0223676959875674,,
198,gesture,GAIN,MCAR,0.5,3.063957581023278,0.0176051647339123,,
199,gesture,GAIN,MCAR,0.75,9.591383068384964,0.0506914874357285,,
200,gesture,GAIN,MNAR,0.25,1.3039178264323417,0.0617168361893172,,
201,gesture,GAIN,MNAR,0.5,3.075941834381246,0.0500920554637977,,
202,gesture,GAIN,MNAR,0.75,9.807612996329311,0.0688336182912209,,
203,letter,GAIN,MAR,0.25,1.0542895026216963,0.0393954580024601,,
204,letter,GAIN,MAR,0.5,1.109558920637198,0.0252725465084373,,
205,letter,GAIN,MAR,0.75,1.2861818322056209,0.0300888083566317,,
206,letter,GAIN,MCAR,0.25,1.03203043716383,0.0112875385114353,,
207,letter,GAIN,MCAR,0.5,1.1122757945618154,0.0082283033667275,,
208,letter,GAIN,MCAR,0.75,1.287280254173806,0.0047263160921941,,
209,letter,GAIN,MNAR,0.25,1.0297875601394493,0.0270771857694333,,
210,letter,GAIN,MNAR,0.5,1.0928532119619807,0.0370248724967645,,
211,letter,GAIN,MNAR,0.75,1.2791776877163346,0.0481277915315117,,
212,magic,GAIN,MAR,0.25,1.2700878957124186,0.2425160849604322,,
213,magic,GAIN,MAR,0.5,1.359895305267559,0.4488118213936754,,
214,magic,GAIN,MAR,0.75,2.0421296239059457,0.5896865939736623,,
215,magic,GAIN,MCAR,0.25,1.4588694193617298,0.0153324762853201,,
216,magic,GAIN,MCAR,0.5,1.8175220435194264,0.0044984893844225,,
217,magic,GAIN,MCAR,0.75,2.358418144297344,0.009228816142576,,
218,magic,GAIN,MNAR,0.25,1.4806148381818194,0.0997377040981969,,
219,magic,GAIN,MNAR,0.5,1.802953983951992,0.0650190387206613,,
220,magic,GAIN,MNAR,0.75,2.325839923374865,0.0288148746063472,,
221,news,GAIN,MAR,0.25,187.90150341786867,181.2585509239406,16.07144591092258,2.42164790816568
222,news,GAIN,MAR,0.5,149.5289775243856,126.10601975800388,16.024861815428363,2.4549170171758
223,news,GAIN,MAR,0.75,170.8123703148104,42.642083794256514,17.476088403007367,0.1860565317881533
224,news,GAIN,MCAR,0.25,65.78191659953815,81.50801831588832,16.478033337680206,0.6032757891382948
225,news,GAIN,MCAR,0.5,122.97252570087616,85.98658716145525,16.86154749210599,0.2774227466270326
226,news,GAIN,MCAR,0.75,152.0944990464749,65.74419921982282,17.33195315847368,0.181013590115289
227,news,GAIN,MNAR,0.25,142.93943590284755,124.9903372405642,16.663004043687778,1.11007669752325
228,news,GAIN,MNAR,0.5,161.2867521362428,103.19366201382658,16.93406032054282,0.8554625845354948
229,news,GAIN,MNAR,0.75,174.9635747877614,60.766620211271416,17.5958643301883,0.1573220380921807
230,shoppers,GAIN,MAR,0.25,1.6717946462432862,0.2587378002245956,41.24661136069916,7.7019242044010205
231,shoppers,GAIN,MAR,0.5,3.860312791204602,1.2034744368893333,27.057815326043915,8.020762349335824
232,shoppers,GAIN,MAR,0.75,14.850117042369124,1.522041453774624,17.608994300443108,4.590288883233296
233,shoppers,GAIN,MCAR,0.25,1.82390228056323,0.0277929585990131,45.43398073819774,0.4279429745444862
234,shoppers,GAIN,MCAR,0.5,4.6430990598897335,0.0290526677076708,32.44668595120142,0.2046905726296845
235,shoppers,GAIN,MCAR,0.75,13.06867443856882,0.0506488953464307,19.265005725520105,0.1288315040546919
236,shoppers,GAIN,MNAR,0.25,1.7738677926090276,0.1325279892396945,44.5637114253191,0.9376264200154152
237,shoppers,GAIN,MNAR,0.5,4.599019702490497,0.1791952303568207,32.059283932198134,0.5614174495334106
238,shoppers,GAIN,MNAR,0.75,13.417112898616995,0.5610169799091461,19.132982120180515,0.5572452271354106
239,adult,Hyperimpute,MAR,0.25,1.0468086477746752,0.1495051905844387,54.7019349129088,8.908158402030042
240,adult,Hyperimpute,MAR,0.5,1.8863102005006247,0.1066745705966366,47.26238182214806,4.63013360270564
241,adult,Hyperimpute,MAR,0.75,1.647454771611521,0.1971385307578493,47.91350450483858,2.233220513387978
242,adult,Hyperimpute,MCAR,0.25,0.9446127702247118,0.0356293775639314,52.45518936885215,0.2282919558769523
243,adult,Hyperimpute,MCAR,0.5,1.356690925782985,0.0376092378363507,44.10267668772688,1.0126157803650528
244,adult,Hyperimpute,MCAR,0.75,1.578699324332025,0.3158380584794695,39.94482810624546,2.6996384828251614
245,adult,Hyperimpute,MNAR,0.25,0.9315904726354908,0.0860805801906667,50.305704290480925,5.633029955605293
246,adult,Hyperimpute,MNAR,0.5,1.6593827924221825,0.4356992656308523,43.72877782894652,2.6273256738620754
247,adult,Hyperimpute,MNAR,0.75,1.6784756283217874,0.1764520080165698,39.70903246464822,2.1795158177014
248,bean,Hyperimpute,MAR,0.25,0.1216690432481878,0.0405507953776362,,
249,bean,Hyperimpute,MAR,0.5,0.229158747712638,0.06255652610638,,
250,bean,Hyperimpute,MAR,0.75,0.4443369178527637,0.048221424244679,,
251,bean,Hyperimpute,MCAR,0.25,0.0891885070208158,0.0025159379843265,,
252,bean,Hyperimpute,MCAR,0.5,0.176903705960112,0.0097864541874641,,
253,bean,Hyperimpute,MCAR,0.75,0.4531743345557372,0.0513417226217951,,
254,bean,Hyperimpute,MNAR,0.25,0.1047746846707559,0.0234466172607792,,
255,bean,Hyperimpute,MNAR,0.5,0.1910755135034384,0.0266685269727177,,
256,bean,Hyperimpute,MNAR,0.75,0.5239932300687514,0.1272723370563098,,
257,california,Hyperimpute,MAR,0.25,0.2756121298351922,0.0346549365993599,,
258,california,Hyperimpute,MAR,0.5,0.5721297723145062,0.0471777762798547,,
259,california,Hyperimpute,MAR,0.75,0.7927947834550866,0.0398656196939146,,
260,california,Hyperimpute,MCAR,0.25,0.2823729746969887,0.0183646211066845,,
261,california,Hyperimpute,MCAR,0.5,0.4899925764097211,0.0114621226027858,,
262,california,Hyperimpute,MCAR,0.75,0.7790415953821915,0.0220003201434983,,
263,california,Hyperimpute,MNAR,0.25,0.3139756558856824,0.0551062917105251,,
264,california,Hyperimpute,MNAR,0.5,0.5005792566022057,0.0704721276920377,,
265,california,Hyperimpute,MNAR,0.75,0.7763530082512438,0.0562871780730711,,
266,default,Hyperimpute,MAR,0.25,0.5335748013328326,0.1221000015353028,76.55286521964777,2.4432981649309573
267,default,Hyperimpute,MAR,0.5,0.5758434064926949,0.0677782242328416,62.84280906473956,2.835934991451261
268,default,Hyperimpute,MAR,0.75,0.797189868784548,0.1740651382560765,59.11443396425248,3.012675122408329
269,default,Hyperimpute,MCAR,0.25,0.3630550293262707,0.0290615351246453,75.30174800009657,0.2663148731096582
270,default,Hyperimpute,MCAR,0.5,0.4895377541126476,0.025192450362723,65.80350992256955,0.3586824572929551
271,default,Hyperimpute,MCAR,0.75,0.7259070176134558,0.0193399427411166,58.82665506227244,1.73754064383049
272,default,Hyperimpute,MNAR,0.25,0.4828880496282283,0.1080757785755724,72.76870641398824,3.6229835947279088
273,default,Hyperimpute,MNAR,0.5,0.5248714723068034,0.0932714424652375,66.13305703563101,0.9389910505206394
274,default,Hyperimpute,MNAR,0.75,0.6801578921203495,0.0640744978854851,58.331245274871,2.809890810219408
275,gesture,Hyperimpute,MAR,0.25,0.5118235468589099,0.0371858401553962,,
276,gesture,Hyperimpute,MAR,0.5,0.6060345322850129,0.0749693955362148,,
277,gesture,Hyperimpute,MAR,0.75,0.7798475181843475,0.0414116356073991,,
278,gesture,Hyperimpute,MCAR,0.25,0.4528041651665171,0.0174530896007569,,
279,gesture,Hyperimpute,MCAR,0.5,0.6116400719981986,0.0203019482473166,,
280,gesture,Hyperimpute,MCAR,0.75,0.8263308183109748,0.0197128046469272,,
281,gesture,Hyperimpute,MNAR,0.25,0.562256934158119,0.0690441419350015,,
282,gesture,Hyperimpute,MNAR,0.5,0.641408943157845,0.0613630474733281,,
283,gesture,Hyperimpute,MNAR,0.75,0.7978464518926474,0.0533710181490739,,
284,letter,Hyperimpute,MAR,0.25,0.3588025260820778,0.0264894420167981,,
285,letter,Hyperimpute,MAR,0.5,0.7430595645237117,0.0548533857582908,,
286,letter,Hyperimpute,MAR,0.75,0.9412156244257824,0.0521680973138313,,
287,letter,Hyperimpute,MCAR,0.25,0.308415516576842,0.0099509440056043,,
288,letter,Hyperimpute,MCAR,0.5,0.6580497247557234,0.045932224124553,,
289,letter,Hyperimpute,MCAR,0.75,0.8900242870111468,0.0046304136378499,,
290,letter,Hyperimpute,MNAR,0.25,0.3176860783561734,0.0164381038086721,,
291,letter,Hyperimpute,MNAR,0.5,0.697379259315878,0.0471775130652163,,
292,letter,Hyperimpute,MNAR,0.75,0.900913100914147,0.0303898169771661,,
293,magic,Hyperimpute,MAR,0.25,0.5854921626851008,0.1430866978057249,,
294,magic,Hyperimpute,MAR,0.5,0.6737507865026621,0.0869448262015469,,
295,magic,Hyperimpute,MAR,0.75,0.8642412641665704,0.0686123396464002,,
296,magic,Hyperimpute,MCAR,0.25,0.4782618409342913,0.0148878953625272,,
297,magic,Hyperimpute,MCAR,0.5,0.5999104671316572,0.0154477813505675,,
298,magic,Hyperimpute,MCAR,0.75,0.8609218102669111,0.0161878111757224,,
299,magic,Hyperimpute,MNAR,0.25,0.5304033053978032,0.0841057151527436,,
300,magic,Hyperimpute,MNAR,0.5,0.5771251339281059,0.0541502286891627,,
301,magic,Hyperimpute,MNAR,0.75,0.8172684636313248,0.0782061595974553,,
302,news,Hyperimpute,MAR,0.25,219.4872676861517,158.13869833994767,42.59392637809234,7.781973334968444
303,news,Hyperimpute,MAR,0.5,145.70338708178505,126.2847661829916,36.84890867181229,6.828411706309705
304,news,Hyperimpute,MAR,0.75,192.48366183755343,25.663303953790543,22.28299614627928,4.867996635070898
305,news,Hyperimpute,MCAR,0.25,335.76822203626244,293.78327097420663,39.43503128340981,0.5503940068998763
306,news,Hyperimpute,MCAR,0.5,171.82858882432654,102.79520864571816,34.11079794084061,2.068902829375373
307,news,Hyperimpute,MCAR,0.75,140.9262547641331,70.90781881935158,26.139875368351664,3.5998266171123223
308,news,Hyperimpute,MNAR,0.25,316.21678411224883,188.25214067838752,37.96615729326936,1.9693955351984127
309,news,Hyperimpute,MNAR,0.5,397.7308963560873,189.4610499874292,34.091019321391194,1.6902740052680028
