column,type,kl_divergence,js_divergence,wasserstein_distance
LIMIT_BAL,continuous,0.18418366404516925,0.20471982525901325,11811.294848886573
SEX,categorical,0.0016087180447549136,0.020007169549816798,0.054999999988999904
EDUCATION,categorical,0.26797565648647836,0.08138125902771048,0.09213333326883981
MARRIAGE,categorical,0.22294364940681533,0.07709978812221512,0.12393333328375997
AGE,continuous,0.5429460234050177,0.2826578580107562,2.1795106996710265
PAY_0,categorical,10.67010169008119,0.606049036061854,1.0995315187764683
PAY_2,categorical,10.078355189538403,0.5930572476185826,1.0729982718289834
PAY_3,categorical,10.06243196268586,0.5919886300508944,1.0681982873576858
PAY_4,categorical,9.555338280869252,0.5770683581486602,1.0144651221435181
PAY_5,categorical,0.034650989157373926,0.08612202489473707,0.10839999989159999
PAY_6,categorical,0.06102480399166352,0.0832097200505058,0.08946666657719998
BILL_AMT1,continuous,0.08438264594923092,0.1496066465746065,20246.328222603886
BILL_AMT2,continuous,0.08250414403985605,0.1449868844003022,21788.600622336802
BILL_AMT3,continuous,0.04153779402957069,0.10646052978886517,19337.48354870906
BILL_AMT4,continuous,0.145501487130641,0.18780616802526254,22464.41630889667
BILL_AMT5,continuous,0.11054040404743841,0.1680950103029207,22685.189828816026
BILL_AMT6,continuous,0.10948458495117648,0.1654881472676072,20042.41572677128
PAY_AMT1,continuous,0.04142824759827656,0.05946651829105242,1886.8211078049358
PAY_AMT2,continuous,0.020495517150684907,0.05422070768534492,1708.0492263122917
PAY_AMT3,continuous,0.02680655163946251,0.08168691823877919,2180.763555655328
PAY_AMT4,continuous,0.03993048431802385,0.08931946384839085,1744.605719451812
PAY_AMT5,continuous,0.08361495585339428,0.12366791215594419,1949.7505484250516
PAY_AMT6,continuous,0.061498952885661304,0.11016592555027761,2245.0124217343805
