column,type,kl_divergence,js_divergence
BILL_AMT1,numeric,0.017260213413373634,0.06739634028187294
BILL_AMT2,numeric,0.01859968144943274,0.06466290170534544
BILL_AMT3,numeric,0.015219384120087066,0.06104303449053186
BILL_AMT4,numeric,0.013005974013132426,0.05711165590253956
BILL_AMT5,numeric,0.024462114584513646,0.07537233663684612
BILL_AMT6,numeric,0.015351575315477331,0.06064318990372992
PAY_AMT1,numeric,0.017026712159926523,0.07090138149950494
PAY_AMT2,numeric,0.013960955225877309,0.058240598685767
PAY_AMT3,numeric,0.013932572993657487,0.06471451979619149
PAY_AMT4,numeric,0.010777562725706794,0.054908934036394366
PAY_AMT5,numeric,0.003922099022989125,0.036302584160621675
PAY_AMT6,numeric,0.007695387839163376,0.05105479785910451
LIMIT_BAL,categorical,3.9229404073015037,0.3910155065357503
SEX,categorical,1.641210298812838e-05,0.002432483394039593
EDUCATION,categorical,0.42410453134867065,0.08885833324124648
MARRIAGE,categorical,0.3462949974717605,0.07953470566158848
AGE,categorical,2.18501584701817,0.422077739245953
PAY_0,categorical,0.4200841501253899,0.08984740546551623
PAY_2,categorical,0.21230509213228668,0.0924386390435404
PAY_3,categorical,0.3520568093208268,0.08141858745717712
PAY_4,categorical,0.31242839838808384,0.07991764095721547
PAY_5,categorical,0.3050409323364,0.07823412611092391
PAY_6,categorical,0.27833491884912737,0.07542741972328752
default,categorical,4.842719363650112e-05,0.004174619664535649
