,value
d_model,64.0
n_heads,8.0
n_layers,3.0
time_emb_dim,256.0
dropout,0.0
emb_base,2.0
emb_max,8.0
diffusion_steps,1000.0
beta_start,9.233564846965355e-05
beta_end,0.017661384342906893
lr,0.0022555836129907808
batch_size,1024.0
dp_noise_mult,0.9511584753650953
dp_max_grad_norm,0.5255086309282133
epochs,450.0
val_fidelity_best,0.9320625000000001
test_fidelity_final,0.9335374999999999
n_trials,50.0
pruned_trials,34.0
